permno,ticker,comnam,permco
64004,MAX,MERCURY AIR GROUP INC,2385
66587,HUG,HUGHES SUPPLY INC,2232
79580,DYII,DYNACQ HEALTHCARE INC,12400
78867,AGY,ARGOSY GAMING CO,11967
86474,RFIL,R F INDUSTRIES LTD,6992
52484,BKR,BAKER MICHAEL CORP,20252
80345,NWAC,NORTHWEST AIRLINES CORP,12934
52813,MENT,MENTOR GRAPHICS CORP,6791
79847,MATK,MARTEK BIOSCIENCES CORP,12604
79641,CAL,CONTINENTAL AIRLINES INC,23504
42534,JCI,JOHNSON CONTROLS INC,21019
54114,MLHR,MILLER HERMAN INC,2949
85402,STRZ,STAR BUFFET INC,15715
76702,OSI,OUTBACK STEAKHOUSE INC,10980
42083,ACV,ALBERTO CULVER CO,8127
80833,TPPH,TAPESTRY PHARMACEUTICALS INC,13236
77887,DKHR,D & K HEALTHCARE RESOURCES INC,11689
85067,MMS,MAXIMUS INC,32004
87092,TIBX,T I B C O SOFTWARE INC,16648
85427,GPI,GROUP 1 AUTOMOTIVE INC,32111
11638,LABL,MULTI COLOR CORP,9459
79841,FWRD,FORWARD AIR CORP,12577
88423,AVCI,AVICI SYSTEMS INC,37919
87541,PKG,PACKAGING CORP AMERICA,23511
76568,SONC,SONIC CORP,10843
83123,CPTS,CONCEPTUS INC,14327
82621,MS,MILESTONE SCIENTIFIC INC,14097
74529,TVIN,T V I CORP NEW,4599
81540,ABC,AMERISOURCEBERGEN CORP,13650
18286,RAY,RAYTECH CORP DE,21491
90097,UCTT,ULTRA CLEAN HOLDINGS INC,45004
42059,WMK,WEIS MARKETS INC,21900
76355,,AMERICAN GAMING & ENTMT LTD,10647
34833,OXY,OCCIDENTAL PETROLEUM CORP,21322
76090,HET,HARRAHS ENTERTAINMENT INC,26032
81242,GPTX,GLOBAL PAYMENT TECHNOLOGIES INC,13551
78051,QSC,QUESTCOR PHARMACEUTICALS INC,11786
88499,AMMD,AMERICAN MEDICAL SYS HLDGS INC,38401
79244,USG,U S G CORP,21800
86579,MKTW,MARKETWATCH INC,16378
85914,BBY,BEST BUY COMPANY INC,7506
30382,DG,DOLLAR GENERAL CORP,1354
88198,SBYN,SEEBEYOND TECHNOLOGIES CORP,37190
85042,GVHR,GEVITY H R INC,15552
28804,ALK,ALASKA AIRGROUP INC,20035
